defined_class	defined_class_label	behavior_process	behavior_process_label
http://purl.obolibrary.org/obo/FBcv_0007514	decreased sleep	http://purl.obolibrary.org/obo/GO_0030431	sleep
http://purl.obolibrary.org/obo/FBcv_0007516	decreased feeding behavior	http://purl.obolibrary.org/obo/GO_0007631	feeding behavior
http://purl.obolibrary.org/obo/FBcv_0007544	decreased rate of chemosensory behaviour	http://purl.obolibrary.org/obo/GO_0007635	chemosensory behaviour
http://purl.obolibrary.org/obo/FBcv_0007545	decreased rate of proboscis extension reflex	http://purl.obolibrary.org/obo/GO_0007637	proboscis extension reflex
http://purl.obolibrary.org/obo/FBcv_0007546	decreased rate of grooming behavior	http://purl.obolibrary.org/obo/GO_0007625	grooming behavior
http://purl.obolibrary.org/obo/FBcv_0007547	decreased rate of locomotory behavior	http://purl.obolibrary.org/obo/GO_0007626	locomotory behavior
http://purl.obolibrary.org/obo/FBcv_0007548	decreased rate of adult walking behavior	http://purl.obolibrary.org/obo/GO_0007628	adult walking behavior
http://purl.obolibrary.org/obo/FBcv_0007549	decreased rate of larval locomotory behavior	http://purl.obolibrary.org/obo/GO_0008345	larval locomotory behavior
http://purl.obolibrary.org/obo/FBcv_0007550	decreased rate of adult locomotory behavior	http://purl.obolibrary.org/obo/GO_0008344	adult locomotory behavior
http://purl.obolibrary.org/obo/FBcv_0007551	decreased rate of mating behavior	http://purl.obolibrary.org/obo/GO_0007617	mating behavior
http://purl.obolibrary.org/obo/FBcv_0007552	decreased rate of courtship behavior	http://purl.obolibrary.org/obo/GO_0007619	courtship behavior
http://purl.obolibrary.org/obo/FBcv_0007553	decreased rate of flight behavior	http://purl.obolibrary.org/obo/GO_0007629	flight behavior
http://purl.obolibrary.org/obo/FBcv_0007554	decreased rate of jump response	http://purl.obolibrary.org/obo/GO_0007630	jump response
http://purl.obolibrary.org/obo/FBcv_0007555	decreased rate of copulation	http://purl.obolibrary.org/obo/GO_0007620	copulation
